size,run_id,length,steps
10,1,27,153
10,2,28,174
10,3,29,235
10,4,37,313
10,5,17,102
10,6,31,216
10,7,27,205
10,8,19,147
10,9,9,42
10,10,16,102
10,11,30,234
10,12,25,140
10,13,27,222
10,14,20,120
10,15,14,82
10,16,19,132
10,17,23,207
10,18,14,79
10,19,19,130
10,20,31,196
10,21,30,184
10,22,19,143
10,23,26,219
10,24,15,95
10,25,23,118
10,26,23,167
10,27,14,68
10,28,13,65
10,29,24,187
10,30,25,181
10,31,25,186
10,32,24,156
10,33,29,209
10,34,31,196
10,35,27,200
10,36,14,74
10,37,24,151
10,38,28,195
10,39,17,100
10,40,14,78
10,41,15,89
10,42,13,65
10,43,21,132
10,44,16,89
10,45,31,242
10,46,15,76
10,47,15,112
10,48,18,122
10,49,31,204
10,50,15,87
10,51,30,197
10,52,20,107
10,53,32,245
10,54,24,184
10,55,28,227
10,56,29,195
10,57,21,152
10,58,29,208
10,59,30,241
10,60,20,142
10,61,19,129
10,62,18,98
10,63,21,133
10,64,21,156
10,65,15,84
10,66,11,51
10,67,19,120
10,68,19,107
10,69,33,267
10,70,26,165
10,71,31,233
10,72,20,134
10,73,25,171
10,74,25,245
10,75,24,164
10,76,22,141
10,77,17,113
10,78,11,48
10,79,18,96
10,80,20,154
10,81,22,153
10,82,17,106
10,83,22,122
10,84,14,83
10,85,24,175
10,86,16,94
10,87,16,92
10,88,15,86
10,89,11,69
10,90,16,114
10,91,13,56
10,92,19,136
10,93,20,140
10,94,33,218
10,95,20,138
10,96,24,142
10,97,26,176
10,98,21,160
10,99,24,176
10,100,27,210
20,1,33,422
20,2,31,393
20,3,43,650
20,4,25,321
20,5,26,377
20,6,27,327
20,7,37,481
20,8,51,820
20,9,47,690
20,10,38,627
20,11,21,230
20,12,45,795
20,13,44,686
20,14,19,230
20,15,39,451
20,16,23,331
20,17,39,585
20,18,44,620
20,19,26,338
20,20,65,1075
20,21,18,222
20,22,49,692
20,23,48,616
20,24,33,441
20,25,57,862
20,26,44,688
20,27,36,599
20,28,24,295
20,29,35,441
20,30,26,398
20,31,22,310
20,32,34,475
20,33,35,501
20,34,21,221
20,35,16,188
20,36,38,612
20,37,46,717
20,38,21,294
20,39,31,382
20,40,39,589
20,41,13,135
20,42,25,303
20,43,23,290
20,44,33,396
20,45,19,200
20,46,36,525
20,47,29,388
20,48,15,123
20,49,44,594
20,50,46,777
20,51,40,587
20,52,30,361
20,53,40,605
20,54,15,146
20,55,59,890
20,56,67,1032
20,57,15,148
20,58,26,353
20,59,31,446
20,60,21,232
20,61,29,406
20,62,52,853
20,63,22,279
20,64,34,423
20,65,24,292
20,66,17,208
20,67,34,464
20,68,24,353
20,69,40,539
20,70,28,391
20,71,60,1181
20,72,30,350
20,73,38,470
20,74,43,640
20,75,50,769
20,76,43,805
20,77,43,561
20,78,14,149
20,79,37,495
20,80,24,259
20,81,36,463
20,82,39,585
20,83,38,416
20,84,35,491
20,85,23,308
20,86,23,293
20,87,27,352
20,88,16,208
20,89,12,147
20,90,31,348
20,91,41,673
20,92,14,124
20,93,27,341
20,94,29,422
20,95,56,772
20,96,33,451
20,97,19,271
20,98,28,329
20,99,29,377
20,100,38,426
30,1,44,1020
30,2,28,553
30,3,57,1086
30,4,41,847
30,5,43,827
30,6,16,228
30,7,18,297
30,8,19,297
30,9,44,891
30,10,48,1042
30,11,41,774
30,12,51,837
30,13,69,1517
30,14,61,1184
30,15,50,1283
30,16,56,1116
30,17,41,898
30,18,54,1262
30,19,30,577
30,20,20,413
30,21,35,737
30,22,31,605
30,23,30,497
30,24,28,549
30,25,30,539
30,26,72,1588
30,27,33,648
30,28,57,1260
30,29,34,635
30,30,49,965
30,31,32,539
30,32,79,1816
30,33,67,1396
30,34,32,600
30,35,38,738
30,36,22,440
30,37,38,644
30,38,31,557
30,39,29,507
30,40,38,811
30,41,55,1139
30,42,29,562
30,43,41,827
30,44,41,682
30,45,17,276
30,46,31,616
30,47,36,694
30,48,47,946
30,49,16,269
30,50,27,516
30,51,65,1482
30,52,28,501
30,53,43,785
30,54,23,433
30,55,66,1341
30,56,34,795
30,57,47,1073
30,58,55,1099
30,59,29,548
30,60,44,902
30,61,29,563
30,62,37,701
30,63,38,769
30,64,19,316
30,65,31,541
30,66,42,844
30,67,47,998
30,68,17,186
30,69,27,541
30,70,36,667
30,71,49,977
30,72,53,1075
30,73,48,989
30,74,67,1429
30,75,68,1551
30,76,20,355
30,77,38,593
30,78,57,1180
30,79,56,1291
30,80,31,666
30,81,39,896
30,82,22,372
30,83,35,620
30,84,45,932
30,85,34,559
30,86,54,950
30,87,60,1430
30,88,29,527
30,89,54,1081
30,90,42,851
30,91,32,520
30,92,64,1468
30,93,42,749
30,94,26,434
30,95,65,1334
30,96,26,488
30,97,16,227
30,98,17,284
30,99,35,713
30,100,31,613
40,1,83,2234
40,2,61,1620
40,3,78,2110
40,4,51,1516
40,5,34,871
40,6,72,2172
40,7,42,1037
40,8,45,1361
40,9,24,572
40,10,51,1150
40,11,33,696
40,12,37,924
40,13,40,1063
40,14,60,1615
40,15,66,1446
40,16,56,1536
40,17,56,1794
40,18,34,825
40,19,45,1113
40,20,20,424
40,21,20,491
40,22,23,583
40,23,62,1779
40,24,80,1980
40,25,48,1301
40,26,50,1258
40,27,68,1780
40,28,74,2143
40,29,51,1370
40,30,73,1955
40,31,77,2209
40,32,46,1241
40,33,90,2537
40,34,31,715
40,35,52,1620
40,36,21,490
40,37,61,1690
40,38,59,1406
40,39,73,2036
40,40,46,1177
40,41,47,1176
40,42,26,461
40,43,54,1513
40,44,23,465
40,45,56,1602
40,46,57,1725
40,47,16,315
40,48,31,686
40,49,69,1788
40,50,59,1747
40,51,76,2453
40,52,27,615
40,53,37,1053
40,54,17,461
40,55,86,2641
40,56,38,886
40,57,53,1386
40,58,67,1941
40,59,44,1093
40,60,42,1060
40,61,60,1809
40,62,47,1283
40,63,41,1041
40,64,31,868
40,65,42,909
40,66,56,1480
40,67,60,1873
40,68,60,1768
40,69,61,1708
40,70,37,982
40,71,51,1350
40,72,26,694
40,73,51,1467
40,74,23,607
40,75,44,1182
40,76,51,1419
40,77,103,2865
40,78,46,1177
40,79,30,630
40,80,32,690
40,81,36,930
40,82,90,2685
40,83,40,1097
40,84,72,2520
40,85,66,1696
40,86,58,1637
40,87,32,754
40,88,72,2020
40,89,97,3389
40,90,79,2516
40,91,48,1389
40,92,26,612
40,93,93,2759
40,94,43,1079
40,95,28,579
40,96,59,1603
40,97,70,2058
40,98,70,2354
40,99,47,1012
40,100,35,925
50,1,31,910
50,2,48,1404
50,3,41,1358
50,4,88,3078
50,5,37,1128
50,6,53,1837
50,7,75,2631
50,8,59,1989
50,9,47,1409
50,10,51,1562
50,11,47,1415
50,12,79,2680
50,13,75,2451
50,14,51,1755
50,15,65,2167
50,16,83,2931
50,17,60,1996
50,18,89,3180
50,19,84,2992
50,20,66,2088
50,21,128,5612
50,22,27,877
50,23,43,1328
50,24,95,3291
50,25,62,2326
50,26,75,2556
50,27,60,2036
50,28,48,1517
50,29,77,2787
50,30,62,2033
50,31,65,2018
50,32,43,1336
50,33,118,4718
50,34,34,987
50,35,90,2985
50,36,73,2757
50,37,81,2671
50,38,57,1632
50,39,79,2919
50,40,71,2456
50,41,107,3912
50,42,53,1905
50,43,113,4500
50,44,22,552
50,45,83,3090
50,46,68,2145
50,47,74,2486
50,48,60,1887
50,49,54,1958
50,50,72,2414
50,51,45,1462
50,52,89,3358
50,53,37,1126
50,54,74,2714
50,55,31,962
50,56,63,2063
50,57,68,2458
50,58,83,2749
50,59,35,954
50,60,50,1592
50,61,64,1922
50,62,19,760
50,63,66,2565
50,64,72,2505
50,65,35,1113
50,66,89,3248
50,67,42,1319
50,68,60,1849
50,69,50,1698
50,70,53,1806
50,71,59,1808
50,72,29,1036
50,73,17,442
50,74,53,1766
50,75,81,2940
50,76,56,1826
50,77,78,2799
50,78,53,1749
50,79,72,2532
50,80,98,3825
50,81,22,710
50,82,56,1847
50,83,47,1525
50,84,36,1100
50,85,51,1679
50,86,52,1817
50,87,42,1313
50,88,31,850
50,89,48,1515
50,90,63,2510
50,91,58,1723
50,92,57,1980
50,93,64,2340
50,94,124,5078
50,95,51,1834
50,96,46,1376
50,97,66,1955
50,98,30,996
50,99,56,1906
50,100,62,1957
